metric,phase_pct,mean,std,p10,p25,p75,p90,n_videos
left_elbow_deg,0.0,76.36,32.63,34.12,52.74,100.56,106.77,20
left_elbow_deg,1.0,76.32,32.55,34.09,52.42,101.22,107.18,20
left_elbow_deg,2.0,76.27,32.48,34.06,52.09,101.89,105.76,20
left_elbow_deg,3.0,76.23,32.44,34.04,51.77,101.91,106.00,20
left_elbow_deg,4.0,76.16,32.41,34.01,51.45,101.10,106.84,20
left_elbow_deg,5.0,76.07,32.37,33.98,51.12,99.45,107.23,20
left_elbow_deg,6.0,75.98,32.28,33.62,50.81,98.28,106.55,20
left_elbow_deg,7.0,75.91,32.24,33.07,50.40,98.39,106.50,20
left_elbow_deg,8.0,75.86,32.18,32.78,49.96,98.50,106.58,20
left_elbow_deg,9.0,75.87,32.08,32.95,49.44,98.53,106.68,20
left_elbow_deg,10.0,75.78,32.12,32.51,48.61,98.56,106.86,20
left_elbow_deg,11.0,75.69,32.16,32.08,47.89,98.58,107.01,20
left_elbow_deg,12.0,75.61,32.19,31.65,47.49,98.62,107.15,20
left_elbow_deg,13.0,75.52,32.16,31.42,47.32,98.66,106.46,20
left_elbow_deg,14.0,75.40,32.09,31.40,47.14,98.66,106.21,20
left_elbow_deg,15.0,75.08,31.86,31.50,47.01,98.26,106.33,20
left_elbow_deg,16.0,74.73,31.61,31.63,46.87,97.87,107.21,20
left_elbow_deg,17.0,74.39,31.41,31.75,46.70,97.51,108.12,20
left_elbow_deg,18.0,74.04,31.25,31.84,46.54,97.15,108.87,20
left_elbow_deg,19.0,73.73,31.07,31.94,46.84,96.85,109.18,20
left_elbow_deg,20.0,73.51,30.88,32.14,47.57,96.59,109.48,20
left_elbow_deg,21.0,73.25,30.60,32.40,48.36,96.26,108.16,20
left_elbow_deg,22.0,72.98,30.45,32.72,49.12,95.94,106.84,20
left_elbow_deg,23.0,72.71,30.42,33.08,48.40,95.60,105.86,20
left_elbow_deg,24.0,72.50,30.49,33.51,47.40,95.61,105.89,20
left_elbow_deg,25.0,72.38,30.68,33.79,47.00,96.85,105.92,20
left_elbow_deg,26.0,72.25,30.90,32.92,47.19,97.36,105.79,20
left_elbow_deg,27.0,72.13,31.18,32.58,47.38,97.88,105.62,20
left_elbow_deg,28.0,72.00,31.50,32.66,47.59,97.83,105.43,20
left_elbow_deg,29.0,71.97,31.62,32.78,47.84,97.75,105.25,20
